class;max_force;average_force;force_time0;force_time1;force_time2;force_time3;force_time4;average_speed;speed_time0;speed_time1;speed_time2;speed_time3;speed_time4;distance_time0;distance_time1;distance_time2;distance_time3;distance_time4
1;80,696928;22,955095;0,541319;0,423945;10,345616;54,341788;49,013535;0,022694;0,025962;0,025534;0,023995;0,0361;0,023764;0,007661;0,020155;0,03267;0,045042;0,057646
1;80,365993;22,771397;0,327776;0,252761;9,856349;56,052377;48,495292;0,022671;0,025874;0,025222;0,024101;0,035865;0,024435;0,007618;0,020123;0,03262;0,044948;0,057606
1;77,008571;23,715488;0,314872;0,403881;11,749082;60,515227;49,236955;0,022662;0,026144;0,025981;0,023072;0,037022;0,024385;0,007657;0,020154;0,03264;0,044892;0,057634
0;121,652139;13,734456;0,383276;0,509195;0,73448;118,558157;0;0,021521;0,024886;0,025147;0,024365;0,010794;0;0,007631;0,020144;0,032629;0,043224;0
0;125,701601;13,682511;0,491727;0,370343;0,452116;41,241023;0;0,021678;0,02506;0,025354;0,02478;0,020138;0;0,007629;0,020123;0,032614;0,044511;0
0;52,901608;3,443721;0,598131;0,486048;0,590101;0,39356;0;0,0217;0,024985;0,025259;0,024901;0,024559;0;0,007614;0,020137;0,03263;0,045156;0
0;128,810156;13,323634;0,340198;0,262404;0,324359;0,439009;0;0,021854;0,02505;0,025428;0,024817;0,02419;0;0,007609;0,020126;0,032595;0,045152;0
0;123,1247;11,649439;0,101359;0,600532;0,478788;0,401502;0;0,021993;0,025183;0,025431;0,024579;0,024291;0;0,007597;0,020115;0,032579;0,045157;0
0;118,948557;11,847904;0,239279;0,135064;0,39093;0,332332;0;0,02193;0,026051;0,024739;0,025918;0,024241;0;0,007637;0,020202;0,032597;0,045168;0
0;115,743992;10,443513;0,150955;0,171629;0,532998;0,193638;0;0,022096;0,025778;0,024844;0,026713;0,024122;0;0,007606;0,020192;0,032618;0,045199;0
0;97,412264;6,888067;0,17667;0,345486;0,367448;0,466699;0;0,022202;0,026096;0,025055;0,025894;0,024307;0;0,007649;0,02019;0,032635;0,045161;0
0;85,52689;5,722988;0,354005;0,410125;0,479832;0,333357;0;0,022127;0,02574;0,02495;0,026382;0,024354;0;0,007645;0,020207;0,032631;0,045181;0
0;128,750654;14,523287;0,492412;0,488558;0,467435;0,476327;116,555684;0,021908;0,025674;0,025109;0,026516;0,023761;0,019122;0,007643;0,020176;0,032651;0,045212;0,056124
0;118,612297;16,306219;0,383385;0,336194;7,511245;0;0;0,021186;0,025029;0,024876;0,026805;0;0;0,007692;0,020167;0,032542;0;0
0;76,537367;7,20039;0,433796;0,387163;0,156425;0;0;0,021276;0,025394;0,025008;0,024755;0;0;0,007642;0,02013;0,032622;0;0
0;114,387985;17,615735;0,313805;0,559105;82,288253;0;0;0,020744;0,025595;0,025358;0,027769;0;0;0,007647;0,020146;0,031406;0;0
0;113,856809;15,746209;0,230856;0,467148;31,984593;0;0;0,021078;0,02524;0,025467;0,02156;0;0;0,007655;0,020167;0,032037;0;0
0;125,006012;23,272148;0,43423;0,592398;64,84232;0;0;0,020501;0,025532;0,025343;0,027353;0;0;0,007586;0,020112;0,031508;0;0
0;72,556361;8,067253;0,592908;0,817348;8,743911;0;0;0,021159;0,025224;0,025448;0,025911;0;0;0,007651;0,020145;0,032581;0;0
